Instrument,Index,Root,X,Y
PNO,1,1,0,0
CB,1,1,1,-3
CB,2,1,-3,-1
VCL,1,1,-3,1
VCL,2,1,1,3
VLA,1,1,-1,-3
VLA,2,1,3,-1
VLN,1,1,-1,3
VLN,2,1,3,1
PNO,1,3,0,10
CB,1,3,1,7
CB,2,3,-3,9
VCL,1,3,-3,11
VCL,2,3,1,13
VLA,1,3,-1,7
VLA,2,3,3,9
VLN,1,3,-1,13
VLN,2,3,3,11
PNO,1,5,6,-8
CB,1,5,5,-5
CB,2,5,9,-7
VCL,1,5,5,-11
VCL,2,5,9,-9
VLA,1,5,7,-5
VLA,2,5,3,-7
VLN,1,5,3,-9
VLN,2,5,7,-11
PNO,1,7,-9,3
CB,1,7,-8,0
CB,2,7,-6,4
VCL,1,7,-10,0
VCL,2,7,-12,4
VLA,1,7,-6,2
VLA,2,7,-8,6
VLN,1,7,-12,2
VLN,2,7,-10,6
PNO,1,11,9,3
CB,1,11,6,2
CB,2,11,8,6
VCL,1,11,10,6
VCL,2,11,12,2
VLA,1,11,8,0
VLA,2,11,6,4
VLN,1,11,10,0
VLN,2,11,12,4
PNO,1,13,-6,-8
CB,1,13,-3,-9
CB,2,13,-5,-5
VCL,1,13,-5,-11
VCL,2,13,-9,-9
VLA,1,13,-3,-7
VLA,2,13,-7,-5
VLN,1,13,-9,-7
VLN,2,13,-7,-11